rocket_family,mission,rocket,provider,year,launch_site,location,status,era
New Shepard,NS-1,New Shepard,Blue Origin,2015,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
Proton-M Briz-M,Mexsat-1,Proton-M Briz-M,International Launch Services,2015,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Modern
Atlas V 501,OTV-4 (X-37B) (USA 261) (AFSPC-5) & ULTRASat cubesat deployer,Atlas V 501,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Ariane 5 ECA,DirecTV 15 & Sky Mexico 1,Ariane 5 ECA,Arianespace,2015,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz 2.1a,Kobalt-M (Kosmos 2505),Soyuz 2.1a,Russian Aerospace Defence Forces,2015,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Vega,Sentinel-2A,Vega,Arianespace,2015,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz,Persona (Kosmos 2506),Soyuz 2.1b,Russian Aerospace Defence Forces,2015,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 4B,Gaofen 8,Long March 4B,China Aerospace Science and Technology Corporation,2015,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 v1.1,SpX CRS-7,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Failure,Modern
Soyuz U,Progress M-28M (60P),Soyuz U,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
PSLV XL,"DMC-3A, DMC-3B, DMC-3C, CBNT-1 & DeOrbitSAIL",PSLV-XL,Antrix Corporation Limited,2015,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Atlas V 401,GPS IIF-10 (USA-262),Atlas V 401,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Ariane 5 ECA,Star One C4 & MSG 4,Ariane 5 ECA,Arianespace,2015,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz-FG,Soyuz TMA-17M,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
"Delta IV M+(5,4)",WGS-7 (USA-263),"Delta IV M+(5,4)",United Launch Alliance,2015,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 3B / YZ-1,BDS M1-S & BDS M2-S,Long March 3B/YZ-1,China Aerospace Science and Technology Corporation,2015,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
H-IIB 304,Kounotori 5 (HTV-5),H-IIB,Mitsubishi Heavy Industries,2015,Yoshinobu Launch Complex LP-2,"Tanegashima Space Center, Japan",Launch Successful,Modern
Ariane 5 ECA,Eutelsat 8 West B & Intelsat 34,Ariane 5 ECA,Arianespace,2015,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 4C,Yaogan-27,Long March 4C,China Aerospace Science and Technology Corporation,2015,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
GSLV Mk II,GSAT-6,GSLV Mk II,Indian Space Research Organization,2015,Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Proton-M Briz-M,Inmarsat-5 F3,Proton-M Briz-M,International Launch Services,2015,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz FG,Soyuz TMA-18M,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Atlas V 551,MUOS-4,Atlas V 551,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz STB/Fregat,Galileo L5 (FOC FM05-FM06),Soyuz STB,Arianespace,2015,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 3B/E,TJS-1 (TJSW-1),Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 2D,Gaofen 9,Long March 2D,China Aerospace Science and Technology Corporation,2015,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Proton-M/Blok DM-03,Ekspress AM8,Proton-M,Khrunichev State Research and Production Space Center,2015,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 6,20 Amateur satellites,Long March 6,China Aerospace Science and Technology Corporation,2015,Launch Complex 16,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Rokot / Briz-KM,"3 x Strela-3M (Kosmos 2507, Kosmos 2508, Kosmos 2509)",Rokot/Briz-KM,Russian Space Forces,2015,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 11,"SECM-1 ( Pujiang-1, Tianwang 1A, Tianwang 1B, Tianwang 1C )",Long March 11,China Aerospace Science and Technology Corporation,2015,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
PSLV XL,Astrosat,PSLV-XL,Indian Space Research Organization,2015,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Long March 3B/E,BDS I2-S,Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Ariane 5 ECA,Sky Muster I (NBN-Co 1A) & ARSAT-2,Ariane 5 ECA,Arianespace,2015,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz-U,Progress M-29M (61P),Soyuz U,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Atlas V 421,Mexsat-2 (Morelos III),Atlas V 421,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 2D,Jilin-1,Long March 2D,China Aerospace Science and Technology Corporation,2015,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 401,NROL-55 (Multipayload mission),Atlas V 401,United Launch Alliance,2015,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 3B/E,APStar-9,Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Proton-M/Briz-M,Türksat 4B,Proton-M Briz-M,International Launch Services,2015,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 2D,Tianhui-1C,Long March 2D,China Aerospace Science and Technology Corporation,2015,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 401,GPS IIF-11 (USA-265),Atlas V 401,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 3B/E,Zhongxing-2C (Chinasat-2C),Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
SPARK,ORS-4,SPARK,Sandia National Laboratories,2015,LP-41,"Pacific Missile Range Facility, Barking Sands, HI, USA",Launch Failure,Modern
Long March 4B,Yaogan-28,Long March 4B,China Aerospace Science and Technology Corporation,2015,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Ariane 5 ECA,Arabsat 6B & GSAT-15,Ariane 5 ECA,Arianespace,2015,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz-2.1b/Fregat,EKS (Tundra) (Kosmos 2510),Soyuz 2.1b/Fregat,Russian Space Forces,2015,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 3B/E,LaoSat-1,Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
New Shepard,NS-2,New Shepard,Blue Origin,2015,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
H-IIA 204,Telstar 12 VANTAGE,H-IIA,Mitsubishi Heavy Industries,2015,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Long March 4C,Yaogan-29,Long March 4C,China Aerospace Science and Technology Corporation,2015,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Vega,LISA Pathfinder,Vega,Arianespace,2015,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz 2.1v/Volga,Kanopus-ST (Kosmos 2511) & KYuA-1 (Kosmos 2512),Soyuz 2.1v,Russian Space Forces,2015,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Failure,Modern
Atlas V 401,Cygnus CRS Orb-4 (S.S. Deke Slayton II),Atlas V 401,United Launch Alliance,2015,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 3B/E,ChinaSat-1C,Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Zenit-3F,Elektro-L No.2,Zenit 3F,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Proton-M Briz-M,Garpun No. 12L (Kosmos-2513),Proton-M Briz-M,Khrunichev State Research and Production Space Center,2015,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz FG,Soyuz TMA-19M,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
PSLV-CA,TeLEOS-1,PSLV,Antrix Corporation Limited,2015,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Long March 2D,DAMPE ( Wukong/Monkey King ),Long March 2D,China Aerospace Science and Technology Corporation,2015,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz STB/Fregat,Galileo L6 (FOC FM08-FM09),Soyuz STB,Arianespace,2015,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz 2.1a,Progress MS (62P),Soyuz 2.1a,Russian Federal Space Agency (ROSCOSMOS),2015,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Falcon 9 Full Thrust,Orbcomm OG2 Mission 2,Falcon 9,SpaceX,2015,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Proton-M Briz-M,Ekspress AMU1 / (EUTELSAT 36C),Proton-M Briz-M,Khrunichev State Research and Production Space Center,2015,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 3B/E,Gaofen 4,Long March 3B/E,China Aerospace Science and Technology Corporation,2015,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 3B/E,BELINTERSAT-1,Long March 3B/E,China Aerospace Science and Technology Corporation,2016,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 v1.1,Jason-3,Falcon 9,SpaceX,2016,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
PSLV XL,IRNSS-1E,PSLV-XL,Indian Space Research Organization,2016,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
New Shepard,NS-3,New Shepard,Blue Origin,2016,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
Ariane 5 ECA,Intelsat 29e,Ariane 5 ECA,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Proton-M Briz-M,Eutelsat 9B,Proton-M Briz-M,International Launch Services,2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Long March 3C/YZ-1,Beidou M3-S,Long March 3C/YZ-1,China Aerospace Science and Technology Corporation,2016,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 401,GPS IIF-12 (USA-266),Atlas V 401,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz-2.1b/Fregat,Glonass-M (Kosmos 2514),Soyuz 2.1b/Fregat,Russian Space Forces,2016,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Unha,Kwangmyongsong-4,Unha,National Aerospace Development Administration,2016,Unha Launch Pad,"Sohae Satellite Launching Station,  Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",Launch Successful,Modern
"Delta IV M+(5,2)",NROL-45 (Topaz-4) (USA-267),"Delta IV M+(5,2)",United Launch Alliance,2016,Space Launch Complex 6,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Rokot / Briz-KM,Sentinel-3A,Rokot/Briz-KM,Eurockot Launch Services,2016,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
H-IIA 202,Astro-H (Hitomi),H-IIA,Mitsubishi Heavy Industries,2016,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
Falcon 9 Full Thrust,SES-9,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Ariane 5 ECA,Eutelsat 65 West A,Ariane 5 ECA,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
PSLV XL,IRNSS-1F,PSLV-XL,Indian Space Research Organization,2016,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Soyuz 2.1b,Resurs-P No.3,Soyuz 2.1b,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Proton-M Briz-M,ExoMars Trace Gas Orbiter & EDM Schiaparelli lander,Proton-M Briz-M,Khrunichev State Research and Production Space Center,2016,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz FG,Soyuz TMA-20M,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Atlas V 401,Cygnus CRS OA-6 (S.S. Rick Husband),Atlas V 401,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz 2.1a,Bars-M No. 2 (Kosmos 2515),Soyuz 2.1a,Russian Space Forces,2016,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 3A,Beidou No. 22,Long March 3A,China Aerospace Science and Technology Corporation,2016,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz 2.1a,Progress MS-02 (63P),Soyuz 2.1a,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
New Shepard,NS-4,New Shepard,Blue Origin,2016,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
Long March 2D,Shijian 10,Long March 2D,China Aerospace Science and Technology Corporation,2016,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Full Thrust,SpX CRS-8,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz STA/Fregat,Sentinel-1B,Soyuz STA,Arianespace,2016,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz-2.1a/Volga,"Mikhailo Lomonosov, Aist-2D & SamSat 218",Soyuz 2.1a/Volga,Russian Federal Space Agency (ROSCOSMOS),2016,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",Launch Successful,Modern
PSLV XL,IRNSS-1G,PSLV-XL,Indian Space Research Organization,2016,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Falcon 9 Full Thrust,JCSAT-14,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 2D,Yaogan-30,Long March 2D,China Aerospace Science and Technology Corporation,2016,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz STB/Fregat,Galileo L7 (FOC FM10-FM11),Soyuz STB,Arianespace,2016,Soyuz Launch Complex,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Falcon 9 Full Thrust,Thaicom 8,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Soyuz-2.1b/Fregat,Glonass-M No. 53 (Kosmos 2516),Soyuz 2.1b/Fregat,Russian Space Forces,2016,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Long March 4B,Ziyuan 3-02 & Ã‘uSat-1 & -2 (Fresco and Batata),Long March 4B,China Aerospace Science and Technology Corporation,2016,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Rokot/Briz-KM,Geo-IK-2 No.12L (Kosmos 2517),Rokot/Briz-KM,Russian Space Forces,2016,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful,Modern
Proton-M Briz-M,Intelsat 31/DLA-2,Proton-M Briz-M,International Launch Services,2016,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Delta IV Heavy,NROL-37,Delta IV Heavy,United Launch Alliance,2016,Space Launch Complex 37A,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 3C,Beidou-2 G7,Long March 3C,China Aerospace Science and Technology Corporation,2016,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Full Thrust,Eutelsat 117 West B & ABS-2A,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Ariane 5 ECA,Echostar 18 & BRIsat,Ariane 5 ECA,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
New Shepard,NS-5,New Shepard,Blue Origin,2016,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
PSLV XL,Cartosat-2C & 19 small satellites,PSLV-XL,Indian Space Research Organization,2016,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
Atlas V 551,MUOS-5,Atlas V 551,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 7 / YZ-1A,Development Flight 1,Long March 7/YZ-1A,China Aerospace Science and Technology Corporation,2016,201,"Wenchang Space Launch Site, People's Republic of China",Launch Successful,Modern
Long March 4B,Shijian 16-02,Long March 4B,China Aerospace Science and Technology Corporation,2016,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Soyuz-FG,Soyuz MS (MS-01),Soyuz,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Soyuz-U,Progress MS-03 (64P),Soyuz U,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Falcon 9 Full Thrust,SpX CRS-9,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Atlas V 421,NROL-61,Atlas V 421,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 3B/E,Tiantong 1-01,Long March 3B/E,China Aerospace Science and Technology Corporation,2016,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Long March 4C,Gaofen 3,Long March 4C,China Aerospace Science and Technology Corporation,2016,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Falcon 9 Full Thrust,JCSAT-16,Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 2D,QUESS (Micius),Long March 2D,China Aerospace Science and Technology Corporation,2016,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
"Delta IV M+(4,2)",AFSPC-6,"Delta IV M+(4,2)",United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Ariane 5 ECA,Intelsat 33e & Intelsat 36,Ariane 5 ECA,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 4C,Gaofen 10,Long March 4C,China Aerospace Science and Technology Corporation,2016,Launch Complex 9,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Failure,Modern
Falcon 9 Full Thrust,Amos 6 (Failure before launch),Falcon 9,SpaceX,2016,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Failure,Modern
GSLV Mk II,INSAT-3DR,GSLV Mk II,Indian Space Research Organization,2016,Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
SpaceShipTwo,VSS Unity CC01,SpaceShipTwo,Virgin Galactic,2016,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Atlas V 411,OSIRIS-REx,Atlas V 411,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Shavit-2,Ofeq-11,Shavit-2,Israel Aerospace Industries,2016,Shavit Launch Pad,"Palmachim Airbase, State of Israel",Launch Successful,Modern
Long March 2F/G,Tiangong-2,Long March 2F/G,China Aerospace Science and Technology Corporation,2016,Launch Area 91 (SLS-1 / 921),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Vega,PerúSAT-1 / SkySat 4-7,Vega,Arianespace,2016,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
PSLV,SCATSat-1,PSLV,Indian Space Research Organization,2016,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
New Shepard,NS-6,New Shepard,Blue Origin,2016,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",Launch Successful,Modern
Ariane 5 ECA,Sky Muster II (NBN-Co 1B) & GSAT-18,Ariane 5 ECA,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Long March 2F/G,Shenzhou-11,Long March 2F/G,China Aerospace Science and Technology Corporation,2016,Launch Area 91 (SLS-1 / 921),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Antares 230,Cygnus CRS OA-5 (S.S. Alan Poindexter),Antares 230,Orbital ATK,2016,Launch Area 0 A,"Wallops Flight Facility, Virginia, USA",Launch Successful,Modern
Soyuz-FG,Soyuz MS-02,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
SpaceShipTwo,VSS Unity CC02,SpaceShipTwo,Virgin Galactic,2016,Mojave Air and Space Port,Air launch to Suborbital flight,Launch was a Partial Failure,Modern
H-IIA 202,Himawari-9,H-IIA,Mitsubishi Heavy Industries,2016,Yoshinobu Launch Complex LP-1,"Tanegashima Space Center, Japan",Launch Successful,Modern
SpaceShipTwo,VSS Unity CC03,SpaceShipTwo,Virgin Galactic,2016,Mojave Air and Space Port,Air launch to Suborbital flight,Launch was a Partial Failure,Modern
Long March 5 / YZ-2,Shijian 17,Long March 5/YZ-2,China Aerospace Science and Technology Corporation,2016,101,"Wenchang Space Launch Site, People's Republic of China",Launch Successful,Modern
Long March 11,"Xiaoxiang-1, XPNAV-1 & 3 others.",Long March 11,China Aerospace Science and Technology Corporation,2016,Launch Area 95A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Atlas V 401,WorldView-4,Atlas V 401,United Launch Alliance,2016,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Modern
Long March 2D,YunHai 1-01,Long March 2D,China Aerospace Science and Technology Corporation,2016,Launch Area 94 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Ariane 5 ES,Galileo L8 (FOC FM07 & FM12-FM14),Ariane 5 ES,Arianespace,2016,Ariane Launch Area 3,"Guiana Space Centre, French Guiana",Launch Successful,Modern
Soyuz-FG,Soyuz MS-03,Soyuz,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Modern
Atlas V 541,GOES-R,Atlas V 541,United Launch Alliance,2016,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
Long March 3C,Tianlian 1-04,Long March 3C,China Aerospace Science and Technology Corporation,2016,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
SpaceShipTwo,VSS Unity CC04,SpaceShipTwo,Virgin Galactic,2016,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Soyuz-U,Progress MS-04 (65P),Soyuz U,Russian Federal Space Agency (ROSCOSMOS),2016,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Modern
SpaceShipTwo,VSS Unity GF01,SpaceShipTwo,Virgin Galactic,2016,Mojave Air and Space Port,Air launch to Suborbital flight,Launch Successful,Modern
Vega,Göktürk-1A,Vega,Arianespace,2016,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",Launch Successful,Modern
PSLV XL,Resourcesat-2A,PSLV-XL,Indian Space Research Organization,2016,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Launch Successful,Modern
"Delta IV M+(5,4)",WGS-8 (USA-272),"Delta IV M+(5,4)",United Launch Alliance,2016,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Modern
H-IIB 304,Kounotori 6 (HTV-6),H-IIB,Mitsubishi Heavy Industries,2016,Yoshinobu Launch Complex LP-2,"Tanegashima Space Center, Japan",Launch Successful,Modern
Long March 3B,Fengyun-4A,Long March 3B,China Aerospace Science and Technology Corporation,2016,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China",Launch Successful,Modern
Pegasus XL,8 x CYGNSS,Pegasus XL,Orbital ATK,2016,Cape Canaveral,Air launch to orbit,Launch Successful,Modern
